{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 4, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 2, 'transformer_num_layers2': 2, 'correlation_coefficient': 0.03254728242062225, 'min_train_loss': 0.007998022250831127, 'min_test_loss': 0.003456914690166135, 'k_fold': 1}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 4, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 2, 'transformer_num_layers2': 2, 'correlation_coefficient': 0.028908575584607108, 'min_train_loss': 0.006728585343807936, 'min_test_loss': 0.002149609120822609, 'k_fold': 2}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 4, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 2, 'transformer_num_layers2': 2, 'correlation_coefficient': 0.21121454493479735, 'min_train_loss': 0.007660641567781568, 'min_test_loss': 0.002989011740031642, 'k_fold': 3}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 4, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 2, 'transformer_num_layers2': 2, 'correlation_coefficient': 0.13969230299902982, 'min_train_loss': 0.007637511473149061, 'min_test_loss': 0.002761702697026459, 'k_fold': 4}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 4, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 2, 'transformer_num_layers2': 2, 'correlation_coefficient': 0, 'min_train_loss': 0.6263382732868195, 'min_test_loss': 0.6279276355558799, 'k_fold': 5}
{'device_num': 2, 'dropout_rate1': 0.19912186644257948, 'dropout_rate2': 0.17223079131218721, 'dropout_rate_fc': 0.21504986721107183, 'embedding_dim1': 256, 'embedding_dim2': 256, 'fc_hidden1': 85, 'fc_hidden2': 55, 'hidden_dim1': 256, 'hidden_dim2': 256, 'l2_regularization': 0.0002, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 2, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.00588126156437886, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 9, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.04089625332092931, 'min_train_loss': 0.006492699263617396, 'min_test_loss': 0.002951694477761543, 'k_fold': 1}
{'device_num': 2, 'dropout_rate1': 0.19912186644257948, 'dropout_rate2': 0.17223079131218721, 'dropout_rate_fc': 0.21504986721107183, 'embedding_dim1': 256, 'embedding_dim2': 256, 'fc_hidden1': 85, 'fc_hidden2': 55, 'hidden_dim1': 256, 'hidden_dim2': 256, 'l2_regularization': 0.0002, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 2, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.00588126156437886, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 9, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.08503369649661849, 'min_train_loss': 0.007209395756945014, 'min_test_loss': 0.002739910666710264, 'k_fold': 2}
{'device_num': 2, 'dropout_rate1': 0.19912186644257948, 'dropout_rate2': 0.17223079131218721, 'dropout_rate_fc': 0.21504986721107183, 'embedding_dim1': 256, 'embedding_dim2': 256, 'fc_hidden1': 85, 'fc_hidden2': 55, 'hidden_dim1': 256, 'hidden_dim2': 256, 'l2_regularization': 0.0002, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 2, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.00588126156437886, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 9, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.10997479654416406, 'min_train_loss': 0.00718328170478344, 'min_test_loss': 0.0021909198517753394, 'k_fold': 3}
{'device_num': 2, 'dropout_rate1': 0.19912186644257948, 'dropout_rate2': 0.17223079131218721, 'dropout_rate_fc': 0.21504986721107183, 'embedding_dim1': 256, 'embedding_dim2': 256, 'fc_hidden1': 85, 'fc_hidden2': 55, 'hidden_dim1': 256, 'hidden_dim2': 256, 'l2_regularization': 0.0002, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 2, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.00588126156437886, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 9, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.0001257492435625711, 'min_train_loss': 0.006445921259000897, 'min_test_loss': 0.002674746114029395, 'k_fold': 4}
{'device_num': 2, 'dropout_rate1': 0.19912186644257948, 'dropout_rate2': 0.17223079131218721, 'dropout_rate_fc': 0.21504986721107183, 'embedding_dim1': 256, 'embedding_dim2': 256, 'fc_hidden1': 85, 'fc_hidden2': 55, 'hidden_dim1': 256, 'hidden_dim2': 256, 'l2_regularization': 0.0002, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 2, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.00588126156437886, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 9, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.11505766984096716, 'min_train_loss': 0.007697030436247587, 'min_test_loss': 0.002262571683525512, 'k_fold': 5}
{'device_num': 2, 'dropout_rate1': 0.4390883674243846, 'dropout_rate2': 0.39940544319470017, 'dropout_rate_fc': 0.2137719871159375, 'embedding_dim1': 256, 'embedding_dim2': 256, 'fc_hidden1': 183, 'fc_hidden2': 16, 'hidden_dim1': 512, 'hidden_dim2': 128, 'l2_regularization': 5e-05, 'latent_dim1': 256, 'latent_dim2': 256, 'num_head1': 2, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.03206952049676011, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 8, 'transformer_num_layers2': 7, 'correlation_coefficient': 0, 'min_train_loss': 0.5441474616527557, 'min_test_loss': 0.6316341772254019, 'k_fold': 1}
