{'device_num': 6, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 9, 'correlation_coefficient': 0, 'min_train_loss': 10.309379488229752, 'min_test_loss': 2.5456575576908964, 'k_fold': 1}
{'device_num': 6, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8455152225221196, 'min_train_loss': -32.13706332445145, 'min_test_loss': 0.05557750416521043, 'k_fold': 1}
{'device_num': 6, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8431775529664043, 'min_train_loss': -32.12167364358902, 'min_test_loss': 0.049833877528173816, 'k_fold': 2}
{'device_num': 6, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8436751306323287, 'min_train_loss': -32.19370079040527, 'min_test_loss': 0.0646188490873504, 'k_fold': 3}
{'device_num': 6, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8464287303250302, 'min_train_loss': -31.976343989372253, 'min_test_loss': 0.05354873918872102, 'k_fold': 4}
{'device_num': 6, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8409820001015833, 'min_train_loss': -31.830146312713623, 'min_test_loss': 0.06477202733111852, 'k_fold': 5}
{'device_num': 6, 'dropout_rate1': 0.1398848550559691, 'dropout_rate2': 0.10038908898734561, 'dropout_rate_fc': 0.40408656697401, 'embedding_dim1': 128, 'embedding_dim2': 128, 'fc_hidden1': 247, 'fc_hidden2': 62, 'hidden_dim1': 1024, 'hidden_dim2': 128, 'l2_regularization': 2e-05, 'latent_dim1': 512, 'latent_dim2': 64, 'num_head1': 16, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.001318024082211557, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 11, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8354100799178295, 'min_train_loss': -16.86319988965988, 'min_test_loss': 0.04662367348067477, 'k_fold': 1}
{'device_num': 6, 'dropout_rate1': 0.1398848550559691, 'dropout_rate2': 0.10038908898734561, 'dropout_rate_fc': 0.40408656697401, 'embedding_dim1': 128, 'embedding_dim2': 128, 'fc_hidden1': 247, 'fc_hidden2': 62, 'hidden_dim1': 1024, 'hidden_dim2': 128, 'l2_regularization': 2e-05, 'latent_dim1': 512, 'latent_dim2': 64, 'num_head1': 16, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.001318024082211557, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 11, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8420205863195048, 'min_train_loss': -16.837529003620148, 'min_test_loss': 0.044589965812957634, 'k_fold': 2}
{'device_num': 6, 'dropout_rate1': 0.1398848550559691, 'dropout_rate2': 0.10038908898734561, 'dropout_rate_fc': 0.40408656697401, 'embedding_dim1': 128, 'embedding_dim2': 128, 'fc_hidden1': 247, 'fc_hidden2': 62, 'hidden_dim1': 1024, 'hidden_dim2': 128, 'l2_regularization': 2e-05, 'latent_dim1': 512, 'latent_dim2': 64, 'num_head1': 16, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.001318024082211557, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 11, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8504713064500637, 'min_train_loss': -16.852432548999786, 'min_test_loss': 0.04430037716070365, 'k_fold': 3}
{'device_num': 6, 'dropout_rate1': 0.1398848550559691, 'dropout_rate2': 0.10038908898734561, 'dropout_rate_fc': 0.40408656697401, 'embedding_dim1': 128, 'embedding_dim2': 128, 'fc_hidden1': 247, 'fc_hidden2': 62, 'hidden_dim1': 1024, 'hidden_dim2': 128, 'l2_regularization': 2e-05, 'latent_dim1': 512, 'latent_dim2': 64, 'num_head1': 16, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.001318024082211557, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 11, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.8476686433892202, 'min_train_loss': -16.861354649066925, 'min_test_loss': 0.030555370633699293, 'k_fold': 4}
{'device_num': 6, 'dropout_rate1': 0.1398848550559691, 'dropout_rate2': 0.10038908898734561, 'dropout_rate_fc': 0.40408656697401, 'embedding_dim1': 128, 'embedding_dim2': 128, 'fc_hidden1': 247, 'fc_hidden2': 62, 'hidden_dim1': 1024, 'hidden_dim2': 128, 'l2_regularization': 2e-05, 'latent_dim1': 512, 'latent_dim2': 64, 'num_head1': 16, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.001318024082211557, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 11, 'transformer_num_layers2': 9, 'correlation_coefficient': 0, 'min_train_loss': 5.31318137049675, 'min_test_loss': 1.2878614291203079, 'k_fold': 5}
