{'device_num': 4, 'dropout_rate1': 0.13798726336989411, 'dropout_rate2': 0.4517850417291053, 'dropout_rate_fc': 0.3385214251346743, 'embedding_dim1': 256, 'embedding_dim2': 64, 'fc_hidden1': 127, 'fc_hidden2': 36, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.00200054708177843, 'train_batch_size': 256, 'train_epochs_num': 500, 'transformer_num_layers1': 8, 'transformer_num_layers2': 5, 'correlation_coefficient': 0.5575901463214397, 'min_train_loss': 4.315377291291952, 'min_test_loss': 1.0904287601432152, 'k_fold': 1}
{'device_num': 4, 'dropout_rate1': 0.13798726336989411, 'dropout_rate2': 0.4517850417291053, 'dropout_rate_fc': 0.3385214251346743, 'embedding_dim1': 256, 'embedding_dim2': 64, 'fc_hidden1': 127, 'fc_hidden2': 36, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.00200054708177843, 'train_batch_size': 256, 'train_epochs_num': 500, 'transformer_num_layers1': 8, 'transformer_num_layers2': 5, 'correlation_coefficient': 0.5461038213252705, 'min_train_loss': 4.371928419917822, 'min_test_loss': 1.0928229300691705, 'k_fold': 2}
{'device_num': 4, 'dropout_rate1': 0.13798726336989411, 'dropout_rate2': 0.4517850417291053, 'dropout_rate_fc': 0.3385214251346743, 'embedding_dim1': 256, 'embedding_dim2': 64, 'fc_hidden1': 127, 'fc_hidden2': 36, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.00200054708177843, 'train_batch_size': 256, 'train_epochs_num': 500, 'transformer_num_layers1': 8, 'transformer_num_layers2': 5, 'correlation_coefficient': 0.565947494202916, 'min_train_loss': 4.274476101621985, 'min_test_loss': 1.0637866281538209, 'k_fold': 3}
{'device_num': 4, 'dropout_rate1': 0.13798726336989411, 'dropout_rate2': 0.4517850417291053, 'dropout_rate_fc': 0.3385214251346743, 'embedding_dim1': 256, 'embedding_dim2': 64, 'fc_hidden1': 127, 'fc_hidden2': 36, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.00200054708177843, 'train_batch_size': 256, 'train_epochs_num': 500, 'transformer_num_layers1': 8, 'transformer_num_layers2': 5, 'correlation_coefficient': 0.5187867255666878, 'min_train_loss': 4.43689432926476, 'min_test_loss': 1.143109856515971, 'k_fold': 4}
{'device_num': 4, 'dropout_rate1': 0.13798726336989411, 'dropout_rate2': 0.4517850417291053, 'dropout_rate_fc': 0.3385214251346743, 'embedding_dim1': 256, 'embedding_dim2': 64, 'fc_hidden1': 127, 'fc_hidden2': 36, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.00200054708177843, 'train_batch_size': 256, 'train_epochs_num': 500, 'transformer_num_layers1': 8, 'transformer_num_layers2': 5, 'correlation_coefficient': 0.4989727775562014, 'min_train_loss': 4.455855078063905, 'min_test_loss': 1.178816501169792, 'k_fold': 5}
{'device_num': 4, 'dropout_rate1': 0.19746157706807474, 'dropout_rate2': 0.3883536643536277, 'dropout_rate_fc': 0.4604120249218374, 'embedding_dim1': 512, 'embedding_dim2': 64, 'fc_hidden1': 148, 'fc_hidden2': 59, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 5e-06, 'latent_dim1': 64, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0014867846673358091, 'train_batch_size': 512, 'train_epochs_num': 400, 'transformer_num_layers1': 3, 'transformer_num_layers2': 10, 'correlation_coefficient': 0.6272831142187305, 'min_train_loss': 1.358925853855908, 'min_test_loss': 0.4771100939047413, 'k_fold': 1}
{'device_num': 4, 'dropout_rate1': 0.19746157706807474, 'dropout_rate2': 0.3883536643536277, 'dropout_rate_fc': 0.4604120249218374, 'embedding_dim1': 512, 'embedding_dim2': 64, 'fc_hidden1': 148, 'fc_hidden2': 59, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 5e-06, 'latent_dim1': 64, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0014867846673358091, 'train_batch_size': 512, 'train_epochs_num': 400, 'transformer_num_layers1': 3, 'transformer_num_layers2': 10, 'correlation_coefficient': 0.6419195313996755, 'min_train_loss': 1.4830693854019046, 'min_test_loss': 0.48001391597971427, 'k_fold': 2}
{'device_num': 4, 'dropout_rate1': 0.19746157706807474, 'dropout_rate2': 0.3883536643536277, 'dropout_rate_fc': 0.4604120249218374, 'embedding_dim1': 512, 'embedding_dim2': 64, 'fc_hidden1': 148, 'fc_hidden2': 59, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 5e-06, 'latent_dim1': 64, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0014867846673358091, 'train_batch_size': 512, 'train_epochs_num': 400, 'transformer_num_layers1': 3, 'transformer_num_layers2': 10, 'correlation_coefficient': 0.6380001884116879, 'min_train_loss': 1.4804121935740113, 'min_test_loss': 0.4773221573957933, 'k_fold': 3}
{'device_num': 4, 'dropout_rate1': 0.19746157706807474, 'dropout_rate2': 0.3883536643536277, 'dropout_rate_fc': 0.4604120249218374, 'embedding_dim1': 512, 'embedding_dim2': 64, 'fc_hidden1': 148, 'fc_hidden2': 59, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 5e-06, 'latent_dim1': 64, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0014867846673358091, 'train_batch_size': 512, 'train_epochs_num': 400, 'transformer_num_layers1': 3, 'transformer_num_layers2': 10, 'correlation_coefficient': 0.6367031451728685, 'min_train_loss': 1.5229781242087483, 'min_test_loss': 0.47132359239944577, 'k_fold': 4}
{'device_num': 4, 'dropout_rate1': 0.19746157706807474, 'dropout_rate2': 0.3883536643536277, 'dropout_rate_fc': 0.4604120249218374, 'embedding_dim1': 512, 'embedding_dim2': 64, 'fc_hidden1': 148, 'fc_hidden2': 59, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 5e-06, 'latent_dim1': 64, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0014867846673358091, 'train_batch_size': 512, 'train_epochs_num': 400, 'transformer_num_layers1': 3, 'transformer_num_layers2': 10, 'correlation_coefficient': 0.6314046672671393, 'min_train_loss': 1.390660259872675, 'min_test_loss': 0.4779490362701329, 'k_fold': 5}
{'device_num': 4, 'dropout_rate1': 0.1484592511758879, 'dropout_rate2': 0.1225106459921125, 'dropout_rate_fc': 0.3966971728178741, 'embedding_dim1': 128, 'embedding_dim2': 128, 'fc_hidden1': 239, 'fc_hidden2': 17, 'hidden_dim1': 128, 'hidden_dim2': 1024, 'l2_regularization': 5e-06, 'latent_dim1': 128, 'latent_dim2': 512, 'num_head1': 4, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.0010601042116527798, 'train_batch_size': 512, 'train_epochs_num': 400, 'transformer_num_layers1': 7, 'transformer_num_layers2': 5, 'correlation_coefficient': 0.6366813168183382, 'min_train_loss': 1.150198832154274, 'min_test_loss': 0.49305120670841335, 'k_fold': 1}
