{'device_num': 2, 'dropout_rate1': 0.2939340186139634, 'dropout_rate2': 0.20560172631929202, 'dropout_rate_fc': 0.24885270786600047, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 105, 'fc_hidden2': 53, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.0023180947065604067, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 1, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.6393074650471527, 'min_train_loss': -99.06606650352478, 'min_test_loss': 0.47305132831368896, 'k_fold': 1}
{'device_num': 2, 'dropout_rate1': 0.2939340186139634, 'dropout_rate2': 0.20560172631929202, 'dropout_rate_fc': 0.24885270786600047, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 105, 'fc_hidden2': 53, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.0023180947065604067, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 1, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.6335571408723288, 'min_train_loss': -99.08906453847885, 'min_test_loss': 0.47937270705136675, 'k_fold': 2}
{'device_num': 2, 'dropout_rate1': 0.2939340186139634, 'dropout_rate2': 0.20560172631929202, 'dropout_rate_fc': 0.24885270786600047, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 105, 'fc_hidden2': 53, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.0023180947065604067, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 1, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.6347163065045613, 'min_train_loss': -98.57363295555115, 'min_test_loss': 0.47797616159130374, 'k_fold': 3}
{'device_num': 2, 'dropout_rate1': 0.2939340186139634, 'dropout_rate2': 0.20560172631929202, 'dropout_rate_fc': 0.24885270786600047, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 105, 'fc_hidden2': 53, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.0023180947065604067, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 1, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.6344874373206871, 'min_train_loss': -99.00751501321793, 'min_test_loss': 0.47832026424834856, 'k_fold': 4}
{'device_num': 2, 'dropout_rate1': 0.2939340186139634, 'dropout_rate2': 0.20560172631929202, 'dropout_rate_fc': 0.24885270786600047, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 105, 'fc_hidden2': 53, 'hidden_dim1': 64, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 128, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 2, 'seq_len': 20, 'train_base_learning_rate': 0.0023180947065604067, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 1, 'transformer_num_layers2': 9, 'correlation_coefficient': 0.5926026360657325, 'min_train_loss': -75.69400948286057, 'min_test_loss': 0.5439621782302133, 'k_fold': 5}
{'device_num': 2, 'dropout_rate1': 0.10480039492650187, 'dropout_rate2': 0.13915103389246677, 'dropout_rate_fc': 0.1339638475609232, 'embedding_dim1': 64, 'embedding_dim2': 512, 'fc_hidden1': 250, 'fc_hidden2': 11, 'hidden_dim1': 128, 'hidden_dim2': 256, 'l2_regularization': 5e-06, 'latent_dim1': 256, 'latent_dim2': 512, 'num_head1': 2, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0030881550988574396, 'train_batch_size': 1024, 'train_epochs_num': 400, 'transformer_num_layers1': 8, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.5984614822072034, 'min_train_loss': -43.99510484933853, 'min_test_loss': 0.26282091019968645, 'k_fold': 1}
{'device_num': 2, 'dropout_rate1': 0.10480039492650187, 'dropout_rate2': 0.13915103389246677, 'dropout_rate_fc': 0.1339638475609232, 'embedding_dim1': 64, 'embedding_dim2': 512, 'fc_hidden1': 250, 'fc_hidden2': 11, 'hidden_dim1': 128, 'hidden_dim2': 256, 'l2_regularization': 5e-06, 'latent_dim1': 256, 'latent_dim2': 512, 'num_head1': 2, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0030881550988574396, 'train_batch_size': 1024, 'train_epochs_num': 400, 'transformer_num_layers1': 8, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.6031851377632499, 'min_train_loss': -44.63942688703537, 'min_test_loss': 0.2600863600413764, 'k_fold': 2}
{'device_num': 2, 'dropout_rate1': 0.10480039492650187, 'dropout_rate2': 0.13915103389246677, 'dropout_rate_fc': 0.1339638475609232, 'embedding_dim1': 64, 'embedding_dim2': 512, 'fc_hidden1': 250, 'fc_hidden2': 11, 'hidden_dim1': 128, 'hidden_dim2': 256, 'l2_regularization': 5e-06, 'latent_dim1': 256, 'latent_dim2': 512, 'num_head1': 2, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0030881550988574396, 'train_batch_size': 1024, 'train_epochs_num': 400, 'transformer_num_layers1': 8, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.6001624013162463, 'min_train_loss': -43.13374084234238, 'min_test_loss': 0.26409582801167586, 'k_fold': 3}
{'device_num': 2, 'dropout_rate1': 0.10480039492650187, 'dropout_rate2': 0.13915103389246677, 'dropout_rate_fc': 0.1339638475609232, 'embedding_dim1': 64, 'embedding_dim2': 512, 'fc_hidden1': 250, 'fc_hidden2': 11, 'hidden_dim1': 128, 'hidden_dim2': 256, 'l2_regularization': 5e-06, 'latent_dim1': 256, 'latent_dim2': 512, 'num_head1': 2, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0030881550988574396, 'train_batch_size': 1024, 'train_epochs_num': 400, 'transformer_num_layers1': 8, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.6339110689872007, 'min_train_loss': -51.14840829372406, 'min_test_loss': 0.2419716500395099, 'k_fold': 4}
{'device_num': 2, 'dropout_rate1': 0.10480039492650187, 'dropout_rate2': 0.13915103389246677, 'dropout_rate_fc': 0.1339638475609232, 'embedding_dim1': 64, 'embedding_dim2': 512, 'fc_hidden1': 250, 'fc_hidden2': 11, 'hidden_dim1': 128, 'hidden_dim2': 256, 'l2_regularization': 5e-06, 'latent_dim1': 256, 'latent_dim2': 512, 'num_head1': 2, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0030881550988574396, 'train_batch_size': 1024, 'train_epochs_num': 400, 'transformer_num_layers1': 8, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.6333586919175223, 'min_train_loss': -51.65625697374344, 'min_test_loss': 0.24341795489969537, 'k_fold': 5}
{'device_num': 2, 'dropout_rate1': 0.35210128146173214, 'dropout_rate2': 0.30177246839914085, 'dropout_rate_fc': 0.32962339551978004, 'embedding_dim1': 128, 'embedding_dim2': 256, 'fc_hidden1': 122, 'fc_hidden2': 21, 'hidden_dim1': 512, 'hidden_dim2': 256, 'l2_regularization': 5e-06, 'latent_dim1': 256, 'latent_dim2': 64, 'num_head1': 4, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.00659327143517237, 'train_batch_size': 1024, 'train_epochs_num': 400, 'transformer_num_layers1': 5, 'transformer_num_layers2': 5, 'correlation_coefficient': 0.11336731658434415, 'min_train_loss': 0.9564232286065817, 'min_test_loss': 0.39739792690367126, 'k_fold': 1}
