{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0.6515956920668812, 'min_train_loss': -0.8448329418897629, 'min_test_loss': 0.03345945127818533, 'k_fold': 1}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0.6224240049468089, 'min_train_loss': -0.8818190829320387, 'min_test_loss': 0.03859702542360328, 'k_fold': 2}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0.6812775992765746, 'min_train_loss': -0.9072946973822333, 'min_test_loss': 0.03214846558571316, 'k_fold': 3}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0.6230403369252144, 'min_train_loss': -0.8465895151550119, 'min_test_loss': 0.03752565313474792, 'k_fold': 4}
{'device_num': 2, 'dropout_rate1': 0.3258494549467406, 'dropout_rate2': 0.2974783660130027, 'dropout_rate_fc': 0.3134874750986153, 'embedding_dim1': 64, 'embedding_dim2': 256, 'fc_hidden1': 109, 'fc_hidden2': 56, 'hidden_dim1': 1024, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 256, 'num_head1': 8, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.0010350836441350173, 'train_batch_size': 512, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0.6368543353322688, 'min_train_loss': -0.8964802446690473, 'min_test_loss': 0.03688587059783454, 'k_fold': 5}
{'device_num': 2, 'dropout_rate1': 0.39068836238499405, 'dropout_rate2': 0.19519245291913612, 'dropout_rate_fc': 0.15641101782414946, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 110, 'fc_hidden2': 42, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 2e-05, 'latent_dim1': 256, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.011021013641330533, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0, 'min_train_loss': 0.499508105895736, 'min_test_loss': 0.5135886754249871, 'k_fold': 1}
{'device_num': 2, 'dropout_rate1': 0.39068836238499405, 'dropout_rate2': 0.19519245291913612, 'dropout_rate_fc': 0.15641101782414946, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 110, 'fc_hidden2': 42, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 2e-05, 'latent_dim1': 256, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.011021013641330533, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0, 'min_train_loss': 0.5004397224296223, 'min_test_loss': 0.5112740317678903, 'k_fold': 2}
{'device_num': 2, 'dropout_rate1': 0.39068836238499405, 'dropout_rate2': 0.19519245291913612, 'dropout_rate_fc': 0.15641101782414946, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 110, 'fc_hidden2': 42, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 2e-05, 'latent_dim1': 256, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.011021013641330533, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0, 'min_train_loss': 0.4998567984862761, 'min_test_loss': 0.5124753822678647, 'k_fold': 3}
{'device_num': 2, 'dropout_rate1': 0.39068836238499405, 'dropout_rate2': 0.19519245291913612, 'dropout_rate_fc': 0.15641101782414946, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 110, 'fc_hidden2': 42, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 2e-05, 'latent_dim1': 256, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.011021013641330533, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0, 'min_train_loss': 0.5008441981944171, 'min_test_loss': 0.5062217266126897, 'k_fold': 4}
{'device_num': 2, 'dropout_rate1': 0.39068836238499405, 'dropout_rate2': 0.19519245291913612, 'dropout_rate_fc': 0.15641101782414946, 'embedding_dim1': 512, 'embedding_dim2': 128, 'fc_hidden1': 110, 'fc_hidden2': 42, 'hidden_dim1': 1024, 'hidden_dim2': 512, 'l2_regularization': 2e-05, 'latent_dim1': 256, 'latent_dim2': 128, 'num_head1': 8, 'num_head2': 4, 'seq_len': 20, 'train_base_learning_rate': 0.011021013641330533, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 4, 'transformer_num_layers2': 8, 'correlation_coefficient': 0, 'min_train_loss': 0.5023336938836358, 'min_test_loss': 0.5030136780324288, 'k_fold': 5}
{'device_num': 2, 'dropout_rate1': 0.2297533939780843, 'dropout_rate2': 0.4466108146320652, 'dropout_rate_fc': 0.28514884508569016, 'embedding_dim1': 512, 'embedding_dim2': 256, 'fc_hidden1': 231, 'fc_hidden2': 13, 'hidden_dim1': 512, 'hidden_dim2': 256, 'l2_regularization': 5e-05, 'latent_dim1': 64, 'latent_dim2': 64, 'num_head1': 16, 'num_head2': 8, 'seq_len': 20, 'train_base_learning_rate': 0.008780786725017982, 'train_batch_size': 1024, 'train_epochs_num': 500, 'transformer_num_layers1': 10, 'transformer_num_layers2': 1, 'correlation_coefficient': 0.4413549349440784, 'min_train_loss': -0.46468410979617725, 'min_test_loss': 0.06173580029146237, 'k_fold': 1}
